Date : 2020-03-25 13:39:36
Directory : /home/pra-va/programavimas/4-projektas/front
Total : 132 files,  34450 codes, 155 comments, 2480 blanks, all 37085 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/AdminScreen.css                                                                   | CSS        |          3 |          0 |          0 |          3 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/AdminScreen.js                                                                    | JavaScript |        175 |          0 |         17 |        192 |
| /home/pra-va/programavimas/4-projektas/front/src/components/5-Context/UserRole.js                                                                     | JavaScript |          3 |          0 |          3 |          6 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/1-BasicTable/1-TableHead/TableHead.js                                    | JavaScript |         18 |          0 |          4 |         22 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/1-BasicTable/2-TableBody/TableBody.js                                    | JavaScript |         15 |          0 |          3 |         18 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/1-BasicTable/2-TableBody/TableRow/TableRow.js                            | JavaScript |         14 |          0 |          5 |         19 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/1-BasicTable/Table.js                                                    | JavaScript |         14 |          0 |          3 |         17 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/10-TopContentWrapper/ContentWrapper.css                                  | CSS        |          4 |          0 |          1 |          5 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/10-TopContentWrapper/ContentWrapper.js                                   | JavaScript |         10 |          0 |          3 |         13 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/11-Alert/Alert.css                                                       | CSS        |          7 |          0 |          2 |          9 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/11-Alert/Alert.js                                                        | JavaScript |         26 |          1 |          4 |         31 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/2-AdvancedTable/AdvancedTable.css                                        | CSS        |         44 |          4 |         11 |         59 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/2-AdvancedTable/AdvancedTable.js                                         | JavaScript |        214 |         12 |         19 |        245 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/2-AdvancedTable/CustomSearch.js                                          | JavaScript |         39 |          0 |          5 |         44 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/3-FormSingleInput/FormSingleInput.js                                     | JavaScript |        172 |          4 |         14 |        190 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/4-Buttons/1-AddRemove/ButtonAddOrRemove.js                               | JavaScript |         31 |          0 |          6 |         37 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/5-FormInputValidationLine/Validation.js                                  | JavaScript |         24 |          1 |          3 |         28 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/6-CheckBox/CheckBox.css                                                  | CSS        |          6 |          0 |          1 |          7 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/6-CheckBox/CheckBox.js                                                   | JavaScript |         33 |          3 |          7 |         43 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/8-PopOver/PopOver.css                                                    | CSS        |          3 |          0 |          1 |          4 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/8-PopOver/PopOver.js                                                     | JavaScript |         25 |          1 |          5 |         31 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/9-AddRemoveDocType/AddRemoveDocType.js                                   | JavaScript |        203 |          1 |         17 |        221 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/9-AddRemoveDocType/Components/1-NotAddedDocTypes.js                      | JavaScript |         50 |          0 |          8 |         58 |
| /home/pra-va/programavimas/4-projektas/front/src/components/6-CommonElements/9-AddRemoveDocType/Components/2-AddedDocTypes.js                         | JavaScript |         41 |          0 |          8 |         49 |
| /home/pra-va/programavimas/4-projektas/front/src/components/7-properties/1-URL.js                                                                     | JavaScript |          2 |          1 |          2 |          5 |
| /home/pra-va/programavimas/4-projektas/front/src/components/8-Statistics/Statistics.js                                                                | JavaScript |        298 |          0 |         23 |        321 |
| /home/pra-va/programavimas/4-projektas/front/src/components/8-Statistics/StatisticsByUsers.js                                                         | JavaScript |        131 |          0 |         10 |        141 |
| /home/pra-va/programavimas/4-projektas/front/src/index.css                                                                                            | CSS        |         12 |          0 |          2 |         14 |
| /home/pra-va/programavimas/4-projektas/front/src/index.js                                                                                             | JavaScript |         43 |         17 |          6 |         66 |
| /home/pra-va/programavimas/4-projektas/front/src/resources/Admin/DocTypes.svg                                                                         | XML        |         40 |          1 |          1 |         42 |
| /home/pra-va/programavimas/4-projektas/front/src/resources/Admin/Groups.svg                                                                           | XML        |         75 |          1 |          1 |         77 |
| /home/pra-va/programavimas/4-projektas/front/src/resources/Admin/NewDoc.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| /home/pra-va/programavimas/4-projektas/front/src/resources/Admin/NewGroup.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| /home/pra-va/programavimas/4-projektas/front/src/resources/Admin/NewUser.svg                                                                          | XML        |         29 |          0 |          1 |         30 |
| /home/pra-va/programavimas/4-projektas/front/src/resources/Admin/NewUser_old.svg                                                                      | XML        |         52 |          1 |          1 |         54 |
| /home/pra-va/programavimas/4-projektas/front/src/resources/Admin/Users.svg                                                                            | XML        |          1 |          0 |          0 |          1 |
| /home/pra-va/programavimas/4-projektas/front/src/resources/admin.svg                                                                                  | XML        |         53 |          1 |          1 |         55 |
| /home/pra-va/programavimas/4-projektas/front/src/resources/doc.svg                                                                                    | XML        |          1 |          0 |          0 |          1 |
| /home/pra-va/programavimas/4-projektas/front/src/resources/download.svg                                                                               | XML        |          1 |          0 |          0 |          1 |
| /home/pra-va/programavimas/4-projektas/front/src/resources/my-documents.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| /home/pra-va/programavimas/4-projektas/front/src/resources/new-document.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| /home/pra-va/programavimas/4-projektas/front/src/resources/search.svg                                                                                 | XML        |          1 |          0 |          0 |          1 |
| /home/pra-va/programavimas/4-projektas/front/src/resources/sign-document.svg                                                                          | XML        |         72 |          1 |          1 |         74 |
| /home/pra-va/programavimas/4-projektas/front/src/resources/team.svg                                                                                   | XML        |         73 |          1 |          1 |         75 |
| /home/pra-va/programavimas/4-projektas/front/src/resources/user.svg                                                                                   | XML        |         43 |          1 |          1 |         45 |
| /home/pra-va/programavimas/4-projektas/front/src/serviceWorker.js                                                                                     | JavaScript |         94 |         31 |         13 |        138 |
| /home/pra-va/programavimas/4-projektas/front/src/tests/App.test.js                                                                                    | JavaScript |          8 |          0 |          2 |         10 |
